2020-09-13_09:59:18_Real-time_Area_Arinsun_RUMS=&gt;SOLAR_FCA
index,time_stamp,Forecast_Rev [MW],actual [MW],AvC,Error = abs(Fc-ACT)/Avc
,Max [MW],170.9,170.08,250,0.68,
,Min [MW],0,0,250,0,
,Avg [MW],48.10,23.10,250.00,0.16,
,MUs,1.15,0.23,6.00,0.00,
1,13-09-2020 00:00,0.00,0.00,250.00,0.00
2,13-09-2020 00:15,0.00,0.00,250.00,0.00
3,13-09-2020 00:30,0.00,0.00,250.00,0.00
4,13-09-2020 00:45,0.00,0.00,250.00,0.00
5,13-09-2020 01:00,0.00,0.00,250.00,0.00
6,13-09-2020 01:15,0.00,0.00,250.00,0.00
7,13-09-2020 01:30,0.00,0.00,250.00,0.00
8,13-09-2020 01:45,0.00,0.00,250.00,0.00
9,13-09-2020 02:00,0.00,0.00,250.00,0.00
10,13-09-2020 02:15,0.00,0.00,250.00,0.00
11,13-09-2020 02:30,0.00,0.00,250.00,0.00
12,13-09-2020 02:45,0.00,0.00,250.00,0.00
13,13-09-2020 03:00,0.00,0.00,250.00,0.00
14,13-09-2020 03:15,0.00,0.00,250.00,0.00
15,13-09-2020 03:30,0.00,0.00,250.00,0.00
16,13-09-2020 03:45,0.00,0.00,250.00,0.00
17,13-09-2020 04:00,0.00,0.00,250.00,0.00
18,13-09-2020 04:15,0.00,0.00,250.00,0.00
19,13-09-2020 04:30,0.00,0.00,250.00,0.00
20,13-09-2020 04:45,0.00,0.00,250.00,0.00
21,13-09-2020 05:00,0.00,0.00,250.00,0.00
22,13-09-2020 05:15,0.00,0.00,250.00,0.00
23,13-09-2020 05:30,0.00,0.00,250.00,0.00
24,13-09-2020 05:45,0.02,0.00,250.00,0.00
25,13-09-2020 06:00,1.23,0.16,250.00,0.00
26,13-09-2020 06:15,5.28,2.86,250.00,0.01
27,13-09-2020 06:30,15.70,7.64,250.00,0.03
28,13-09-2020 06:45,26.32,15.45,250.00,0.04
29,13-09-2020 07:00,37.72,24.48,250.00,0.05
30,13-09-2020 07:15,48.76,34.81,250.00,0.06
31,13-09-2020 07:30,57.52,37.34,250.00,0.08
32,13-09-2020 07:45,68.84,49.57,250.00,0.08
33,13-09-2020 08:00,80.28,47.02,250.00,0.13
34,13-09-2020 08:15,91.83,33.19,250.00,0.23
35,13-09-2020 08:30,102.40,62.52,250.00,0.16
36,13-09-2020 08:45,112.77,76.61,250.00,0.14
37,13-09-2020 09:00,122.02,92.24,250.00,0.12
38,13-09-2020 09:15,130.92,115.97,250.00,0.06
39,13-09-2020 09:30,138.35,154.09,250.00,0.06
40,13-09-2020 09:45,145.32,170.08,250.00,0.10
41,13-09-2020 10:00,152.09,,250.00,0.61
42,13-09-2020 10:15,156.22,,250.00,0.62
43,13-09-2020 10:30,159.85,,250.00,0.64
44,13-09-2020 10:45,163.04,,250.00,0.65
45,13-09-2020 11:00,165.05,,250.00,0.66
46,13-09-2020 11:15,164.91,,250.00,0.66
47,13-09-2020 11:30,166.21,,250.00,0.66
48,13-09-2020 11:45,166.77,,250.00,0.67
49,13-09-2020 12:00,170.90,,250.00,0.68
50,13-09-2020 12:15,168.31,,250.00,0.67
51,13-09-2020 12:30,162.23,,250.00,0.65
52,13-09-2020 12:45,156.65,,250.00,0.63
53,13-09-2020 13:00,152.13,,250.00,0.61
54,13-09-2020 13:15,147.05,,250.00,0.59
55,13-09-2020 13:30,136.89,,250.00,0.55
56,13-09-2020 13:45,126.58,,250.00,0.51
57,13-09-2020 14:00,119.34,,250.00,0.48
58,13-09-2020 14:15,111.09,,250.00,0.44
59,13-09-2020 14:30,101.66,,250.00,0.41
60,13-09-2020 14:45,92.19,,250.00,0.37
61,13-09-2020 15:00,83.63,,250.00,0.33
62,13-09-2020 15:15,76.01,,250.00,0.30
63,13-09-2020 15:30,67.08,,250.00,0.27
64,13-09-2020 15:45,58.30,,250.00,0.23
65,13-09-2020 16:00,51.70,,250.00,0.21
66,13-09-2020 16:15,44.09,,250.00,0.18
67,13-09-2020 16:30,36.77,,250.00,0.15
68,13-09-2020 16:45,29.21,,250.00,0.12
69,13-09-2020 17:00,21.69,,250.00,0.09
70,13-09-2020 17:15,14.41,,250.00,0.06
71,13-09-2020 17:30,8.00,,250.00,0.03
72,13-09-2020 17:45,2.02,,250.00,0.01
73,13-09-2020 18:00,0.00,,250.00,0.00
74,13-09-2020 18:15,0.00,,250.00,0.00
75,13-09-2020 18:30,0.00,,250.00,0.00
76,13-09-2020 18:45,0.00,,250.00,0.00
77,13-09-2020 19:00,0.00,,250.00,0.00
78,13-09-2020 19:15,0.00,,250.00,0.00
79,13-09-2020 19:30,0.00,,250.00,0.00
80,13-09-2020 19:45,0.00,,250.00,0.00
81,13-09-2020 20:00,0.00,,250.00,0.00
82,13-09-2020 20:15,0.00,,250.00,0.00
83,13-09-2020 20:30,0.00,,250.00,0.00
84,13-09-2020 20:45,0.00,,250.00,0.00
85,13-09-2020 21:00,0.00,,250.00,0.00
86,13-09-2020 21:15,0.00,,250.00,0.00
87,13-09-2020 21:30,0.00,,250.00,0.00
88,13-09-2020 21:45,0.00,,250.00,0.00
89,13-09-2020 22:00,0.00,,250.00,0.00
90,13-09-2020 22:15,0.00,,250.00,0.00
91,13-09-2020 22:30,0.00,,250.00,0.00
92,13-09-2020 22:45,0.00,,250.00,0.00
93,13-09-2020 23:00,0.00,,250.00,0.00
94,13-09-2020 23:15,0.00,,250.00,0.00
95,13-09-2020 23:30,0.00,,250.00,0.00
96,13-09-2020 23:45,0.00,,250.00,0.00
