2020-09-13_17:26:05_Real-time_Maharashtra - COMBINED_Combined
index,Time Stamp,Forecast_Rev [MW],Actual [MW],AvC [MW], Schedule [MW],Error=Abs(Fc-ACT)/AvC
,Max [MW],1767.21,1614.17,6391.47,1777.04,0.15,
,Min [MW],737.32,542.9,6331.12,737.4,0,
,Avg [MW],1105.50,1043.09,6364.12,1171.55,15.20,
,MUs,26.53,18.25,152.74,28.12,0.36,
1,13-09-2020 00:00,1033.69,788.03,6333.22,1099.44,0.04
2,13-09-2020 00:15,1023.31,823.37,6333.22,1086.96,0.03
3,13-09-2020 00:30,1022.06,861.97,6333.22,1058.77,0.03
4,13-09-2020 00:45,1016.72,876.20,6333.22,1035.25,0.02
5,13-09-2020 01:00,1001.73,873.67,6333.22,1014.94,0.02
6,13-09-2020 01:15,1010.85,859.63,6333.22,1000.68,0.02
7,13-09-2020 01:30,909.36,840.40,6333.22,984.10,0.01
8,13-09-2020 01:45,900.08,842.13,6333.22,974.42,0.01
9,13-09-2020 02:00,894.59,858.67,6333.22,959.91,0.01
10,13-09-2020 02:15,891.70,829.40,6333.22,960.41,0.01
11,13-09-2020 02:30,897.51,793.80,6333.22,926.73,0.02
12,13-09-2020 02:45,894.86,790.80,6333.22,917.07,0.02
13,13-09-2020 03:00,893.23,765.33,6333.22,1019.32,0.02
14,13-09-2020 03:15,889.83,738.03,6333.22,992.45,0.02
15,13-09-2020 03:30,902.96,690.20,6333.22,968.80,0.03
16,13-09-2020 03:45,894.99,645.87,6333.22,947.53,0.04
17,13-09-2020 04:00,885.75,633.97,6333.22,925.33,0.04
18,13-09-2020 04:15,877.78,632.73,6333.22,893.19,0.04
19,13-09-2020 04:30,752.92,584.93,6333.22,914.03,0.03
20,13-09-2020 04:45,747.90,574.53,6333.22,901.75,0.03
21,13-09-2020 05:00,746.59,558.10,6333.22,887.78,0.03
22,13-09-2020 05:15,741.64,551.27,6333.22,846.92,0.03
23,13-09-2020 05:30,751.67,542.90,6333.22,828.53,0.03
24,13-09-2020 05:45,745.70,544.87,6333.22,801.45,0.03
25,13-09-2020 06:00,741.37,566.70,6391.47,756.34,0.03
26,13-09-2020 06:15,737.32,576.33,6391.47,740.15,0.03
27,13-09-2020 06:30,769.08,588.23,6391.47,737.40,0.03
28,13-09-2020 06:45,785.24,610.53,6391.47,750.51,0.03
29,13-09-2020 07:00,820.55,666.03,6391.47,759.49,0.02
30,13-09-2020 07:15,850.50,767.83,6391.47,741.88,0.01
31,13-09-2020 07:30,773.03,851.63,6391.47,909.59,0.01
32,13-09-2020 07:45,826.91,908.67,6391.47,973.67,0.01
33,13-09-2020 08:00,892.63,942.67,6391.47,1014.92,0.01
34,13-09-2020 08:15,958.39,992.87,6391.47,1052.72,0.01
35,13-09-2020 08:30,1029.21,1022.67,6391.47,1082.39,0.00
36,13-09-2020 08:45,1109.08,1113.03,6391.47,1133.72,0.00
37,13-09-2020 09:00,1173.95,1174.10,6391.47,1317.21,2.3600191968278E-5
38,13-09-2020 09:15,1244.21,1270.13,6391.47,1355.06,0.00
39,13-09-2020 09:30,1321.14,1334.37,6391.47,1376.53,0.00
40,13-09-2020 09:45,1421.05,1375.63,6391.47,1425.88,0.01
41,13-09-2020 10:00,1476.02,1477.43,6391.47,1487.37,0.00
42,13-09-2020 10:15,1524.22,1518.07,6391.47,1523.95,0.00
43,13-09-2020 10:30,1566.94,1541.47,6391.47,1626.10,0.00
44,13-09-2020 10:45,1595.38,1523.77,6391.47,1656.78,0.01
45,13-09-2020 11:00,1623.37,1566.27,6391.47,1653.65,0.01
46,13-09-2020 11:15,1649.92,1584.40,6391.47,1676.55,0.01
47,13-09-2020 11:30,1676.53,1578.00,6391.47,1723.28,0.02
48,13-09-2020 11:45,1700.53,1614.17,6391.47,1737.41,0.01
49,13-09-2020 12:00,1718.27,1589.37,6391.47,1737.64,0.02
50,13-09-2020 12:15,1733.36,1569.13,6391.47,1753.33,0.03
51,13-09-2020 12:30,1762.01,1544.63,6391.47,1740.97,0.03
52,13-09-2020 12:45,1763.84,1433.90,6391.47,1686.11,0.05
53,13-09-2020 13:00,1767.21,1390.93,6391.47,1766.83,0.06
54,13-09-2020 13:15,1763.29,1377.37,6391.47,1736.55,0.06
55,13-09-2020 13:30,1737.33,1424.10,6391.47,1760.41,0.05
56,13-09-2020 13:45,1712.71,1363.93,6391.47,1777.04,0.05
57,13-09-2020 14:00,1694.97,1362.63,6391.47,1652.26,0.05
58,13-09-2020 14:15,1682.11,1309.70,6391.47,1620.08,0.06
59,13-09-2020 14:30,1654.94,1275.97,6391.47,1606.48,0.06
60,13-09-2020 14:45,1635.58,1299.27,6391.47,1601.72,0.05
61,13-09-2020 15:00,1611.98,1250.47,6391.47,1567.12,0.06
62,13-09-2020 15:15,1576.02,1172.90,6391.47,1511.15,0.06
63,13-09-2020 15:30,1546.18,1154.57,6391.47,1473.88,0.06
64,13-09-2020 15:45,1505.69,1181.23,6391.47,1425.57,0.05
65,13-09-2020 16:00,1461.94,1185.53,6391.47,1355.78,0.04
66,13-09-2020 16:15,1416.44,1142.17,6391.47,1303.39,0.04
67,13-09-2020 16:30,1183.30,1097.67,6389.37,1227.66,0.01
68,13-09-2020 16:45,1132.50,1100.53,6389.37,1170.11,0.01
69,13-09-2020 17:00,1083.94,1081.60,6389.37,1120.07,0.00
70,13-09-2020 17:15,1035.86,1042.75,6389.37,1082.19,0.00
71,13-09-2020 17:30,981.95,,6389.37,1108.50,0.15
72,13-09-2020 17:45,958.90,,6389.37,1101.95,0.15
73,13-09-2020 18:00,915.00,,6389.37,1113.96,0.14
74,13-09-2020 18:15,889.30,,6389.37,1092.60,0.14
75,13-09-2020 18:30,888.40,,6389.37,1093.52,0.14
