2020-09-13_17:40:12_Real-time_WR - COMBINED_Combined
index,Time Stamp,Forecast_Rev [MW],Actual [MW],AvC,Error=Abs(Fc-ACT)/AvC
,Max [MW],5013.2,4466.55,15998.52,0.15,
,Min [MW],1193.07,864.19,14226.21,0,
,Avg [MW],2666.31,2631.34,15018.59,0.06,
,MUs,63.99,46.71,360.45,0.00,
1,2020/09/13 00:00:00,2094.49,1252.96,14612.33,0.06
2,2020/09/13 00:15:00,2084.30,1268.81,14465.25,0.06
3,2020/09/13 00:30:00,2067.56,1282.82,14437.06,0.05
4,2020/09/13 00:45:00,2024.68,1209.60,14413.54,0.06
5,2020/09/13 01:00:00,2008.41,1171.28,14393.22,0.06
6,2020/09/13 01:15:00,2018.63,1130.47,14378.96,0.06
7,2020/09/13 01:30:00,1575.56,1074.04,14361.38,0.03
8,2020/09/13 01:45:00,1557.59,1062.28,14351.70,0.03
9,2020/09/13 02:00:00,1563.15,1119.79,14337.20,0.03
10,2020/09/13 02:15:00,1567.77,1125.04,14337.70,0.03
11,2020/09/13 02:30:00,1609.38,1104.71,14304.02,0.04
12,2020/09/13 02:45:00,1617.14,1085.88,14294.36,0.04
13,2020/09/13 03:00:00,1295.16,1064.26,14398.61,0.02
14,2020/09/13 03:15:00,1293.06,1038.67,14371.74,0.02
15,2020/09/13 03:30:00,1320.53,950.54,14348.09,0.03
16,2020/09/13 03:45:00,1325.31,904.45,14324.82,0.03
17,2020/09/13 04:00:00,1329.05,905.91,14302.62,0.03
18,2020/09/13 04:15:00,1366.03,897.51,14270.48,0.03
19,2020/09/13 04:30:00,1196.12,864.19,14293.32,0.02
20,2020/09/13 04:45:00,1203.65,894.84,14281.04,0.02
21,2020/09/13 05:00:00,1215.40,930.84,14267.07,0.02
22,2020/09/13 05:15:00,1222.26,977.36,14226.21,0.02
23,2020/09/13 05:30:00,1257.41,1010.87,15056.79,0.02
24,2020/09/13 05:45:00,1263.62,1061.29,15029.71,0.01
25,2020/09/13 06:00:00,1193.07,1129.00,14984.60,0.00
26,2020/09/13 06:15:00,1205.42,1145.32,14968.41,0.00
27,2020/09/13 06:30:00,1294.42,1178.83,14964.49,0.01
28,2020/09/13 06:45:00,1419.88,1224.63,14977.60,0.01
29,2020/09/13 07:00:00,1601.86,1341.83,14986.58,0.02
30,2020/09/13 07:15:00,1806.59,1517.89,14968.97,0.02
31,2020/09/13 07:30:00,2010.48,1697.29,15134.58,0.02
32,2020/09/13 07:45:00,2239.71,1891.24,15198.66,0.02
33,2020/09/13 08:00:00,2492.61,2001.35,15245.91,0.03
34,2020/09/13 08:15:00,2755.32,2152.59,15283.71,0.04
35,2020/09/13 08:30:00,3007.07,2337.41,15313.38,0.04
36,2020/09/13 08:45:00,3258.67,2662.93,15364.71,0.04
37,2020/09/13 09:00:00,3255.09,2896.76,15548.20,0.02
38,2020/09/13 09:15:00,3473.29,3219.87,15586.05,0.02
39,2020/09/13 09:30:00,3705.64,3493.34,15581.73,0.01
40,2020/09/13 09:45:00,3949.60,3825.17,15631.07,0.01
41,2020/09/13 10:00:00,4137.93,4016.67,15695.31,0.01
42,2020/09/13 10:15:00,4291.74,4176.02,15731.89,0.01
43,2020/09/13 10:30:00,4372.81,4259.51,15855.79,0.01
44,2020/09/13 10:45:00,4487.05,4285.80,15886.47,0.01
45,2020/09/13 11:00:00,4585.90,4346.91,15883.34,0.02
46,2020/09/13 11:15:00,4677.14,4404.21,15906.24,0.02
47,2020/09/13 11:30:00,4768.09,4431.36,15952.97,0.02
48,2020/09/13 11:45:00,4833.82,4462.68,15967.10,0.02
49,2020/09/13 12:00:00,4918.28,4413.93,15967.33,0.03
50,2020/09/13 12:15:00,4955.34,4464.07,15983.02,0.03
51,2020/09/13 12:30:00,4998.04,4466.55,15970.66,0.03
52,2020/09/13 12:45:00,5013.20,4316.32,15915.80,0.04
53,2020/09/13 13:00:00,4971.68,4258.29,15998.52,0.04
54,2020/09/13 13:15:00,4911.89,4375.05,15968.24,0.03
55,2020/09/13 13:30:00,4673.66,4194.81,15968.10,0.03
56,2020/09/13 13:45:00,4572.79,4166.31,15984.73,0.03
57,2020/09/13 14:00:00,4497.19,4449.38,15857.74,0.00
58,2020/09/13 14:15:00,4408.40,4465.06,15825.56,0.00
59,2020/09/13 14:30:00,4277.71,4309.37,15835.96,0.00
60,2020/09/13 14:45:00,4159.18,4339.60,15831.20,0.01
61,2020/09/13 15:00:00,4099.48,4179.43,15794.60,0.01
62,2020/09/13 15:15:00,3927.05,4033.84,15738.63,0.01
63,2020/09/13 15:30:00,3757.56,4042.92,15689.91,0.02
64,2020/09/13 15:45:00,3578.14,4102.08,15643.60,0.03
65,2020/09/13 16:00:00,3395.84,3963.81,15575.46,0.04
66,2020/09/13 16:15:00,3211.50,3917.76,15523.07,0.05
67,2020/09/13 16:30:00,3298.54,4056.45,15440.94,0.05
68,2020/09/13 16:45:00,3095.79,3708.98,15383.39,0.04
69,2020/09/13 17:00:00,2880.40,3340.64,15333.35,0.03
70,2020/09/13 17:15:00,2663.02,2978.67,15295.47,0.02
71,2020/09/13 17:30:00,2473.67,2794.84,15323.88,0.02
72,2020/09/13 17:45:00,2279.71,,15317.33,0.15
73,2020/09/13 18:00:00,2266.97,,15360.77,0.15
74,2020/09/13 18:15:00,2144.02,,15332.58,0.14
75,2020/09/13 18:30:00,2102.73,,15326.60,0.14
76,2020/09/13 18:45:00,2089.44,,15319.04,0.14
77,2020/09/13 19:00:00,2091.11,,14431.42,0.14
78,2020/09/13 19:15:00,2087.95,,14427.80,0.14
79,2020/09/13 19:30:00,2079.77,,14415.64,0.14
80,2020/09/13 19:45:00,2079.87,,14411.23,0.14
81,2020/09/13 20:00:00,2080.94,,14398.45,0.14
82,2020/09/13 20:15:00,2077.14,,14392.53,0.14
83,2020/09/13 20:30:00,2057.42,,14389.86,0.14
84,2020/09/13 20:45:00,2039.02,,14381.97,0.14
85,2020/09/13 21:00:00,2023.65,,14362.89,0.14
86,2020/09/13 21:15:00,1953.82,,14350.40,0.14
87,2020/09/13 21:30:00,1942.95,,14328.12,0.14
88,2020/09/13 21:45:00,1938.99,,14319.69,0.14
89,2020/09/13 22:00:00,1942.74,,14312.31,0.14
90,2020/09/13 22:15:00,1950.62,,14284.82,0.14
91,2020/09/13 22:30:00,1950.47,,14254.30,0.14
92,2020/09/13 22:45:00,1963.55,,14248.68,0.14
93,2020/09/13 23:00:00,1994.48,,14276.03,0.14
94,2020/09/13 23:15:00,2038.75,,14281.55,0.14
95,2020/09/13 23:30:00,2071.94,,14272.18,0.15
